"probeset","gene","EntrezGene.ID","best_probe"
"201011_at","RPN1","6184",TRUE
"201012_at","ANXA1","301",TRUE
"201013_s_at","PAICS","10606",FALSE
"201014_s_at","PAICS","10606",FALSE
"201015_s_at","JUP","3728",TRUE
"201016_at","EIF1AX","1964",TRUE
"201017_at","EIF1AX","1964",FALSE
"201018_at","EIF1AX","1964",FALSE
"201019_s_at","EIF1AX","1964",FALSE
"201020_at","YWHAH","7533",TRUE
"201021_s_at","DSTN","11034",TRUE
"201022_s_at","DSTN","11034",FALSE
"201023_at","TAF7","6879",TRUE
"201024_x_at","EIF5B","9669",FALSE
"201025_at","EIF5B","9669",FALSE
"201026_at","EIF5B","9669",FALSE
"201027_s_at","EIF5B","9669",FALSE
"201028_s_at","CD99","4267",TRUE
"201029_s_at","CD99","4267",FALSE
"201030_x_at","LDHB","3945",TRUE
"201031_s_at","HNRNPH1","3187",FALSE
"201032_at","BLCAP","10904",TRUE
"201033_x_at","RPLP0","6175",FALSE
"201034_at","ADD3","120",FALSE
"201035_s_at","HADH","3033",FALSE
"201036_s_at","HADH","3033",FALSE
"201037_at","PFKP","5214",TRUE
"201038_s_at","ANP32A","8125",FALSE
"201039_s_at","RAD23A","5886",FALSE
"201040_at","GNAI2","2771",TRUE
"201041_s_at","DUSP1","1843",FALSE
"201042_at","TGM2","7052",FALSE
"201043_s_at","ANP32A","8125",TRUE
"201044_x_at","DUSP1","1843",TRUE
"201045_s_at","RAB6A","5870",TRUE
"201046_s_at","RAD23A","5886",TRUE
"201047_x_at","RAB6A","5870",FALSE
"201048_x_at","RAB6A","5870",FALSE
"201049_s_at","RPS18","6222",TRUE
"201050_at","PLD3","23646",TRUE
"201051_at","ANP32A","8125",FALSE
"201052_s_at","PSMF1","9491",FALSE
"201053_s_at","PSMF1","9491",TRUE
"201054_at","HNRNPA0","10949",TRUE
"201055_s_at","HNRNPA0","10949",FALSE
"201056_at","GOLGB1","2804",TRUE
"201057_s_at","GOLGB1","2804",FALSE
"201058_s_at","MYL9","10398",TRUE
"201059_at","CTTN","2017",FALSE
"201060_x_at","STOM","2040",FALSE
"201061_s_at","STOM","2040",FALSE
"201062_at","STOM","2040",TRUE
"201063_at","RCN1","5954",TRUE
"201064_s_at","PABPC4","8761",TRUE
"201065_s_at","GTF2I /// GTF2IP1 /// LOC100093631","100093631 /// 2969 /// 2970",FALSE
"201066_at","CYC1","1537",TRUE
"201067_at","PSMC2","5701",TRUE
"201068_s_at","PSMC2","5701",FALSE
"201069_at","MMP2","4313",TRUE
"201070_x_at","SF3B1","23451",FALSE
"201071_x_at","SF3B1","23451",FALSE
"201072_s_at","SMARCC1","6599",TRUE
"201073_s_at","SMARCC1","6599",FALSE
"201074_at","SMARCC1","6599",FALSE
"201075_s_at","SMARCC1","6599",FALSE
"201076_at","NHP2L1","4809",FALSE
"201077_s_at","NHP2L1","4809",TRUE
